,crc,take_type,allo_block,wap,max_rate_wap,in_sw_allo,sd1_150,sd1_30,sd1_7,rate_ratio,ExtSiteID
373,CRC169467,Take Surface Water,A,K36/0966,100.0,True,100.0,100.0,100.0,0.03937007874015748,168833
374,CRC169467,Take Surface Water,A,K36/0966,100.0,True,100.0,100.0,100.0,0.03937007874015748,168821
375,CRC169502,Take Surface Water,A,BY20/0088,120.0,True,100.0,100.0,100.0,0.03965631196298744,68801
376,CRC169502,Take Surface Water,A,BY20/0088,120.0,True,100.0,100.0,100.0,0.03965631196298744,168833
377,CRC169502,Take Surface Water,A,K36/0904,40.0,True,100.0,100.0,100.0,0.013218770654329148,68801
378,CRC169502,Take Surface Water,A,K36/0904,40.0,True,100.0,100.0,100.0,0.013218770654329148,168833
379,CRC169502,Take Surface Water,A,K36/0905,110.0,True,100.0,100.0,100.0,0.036351619299405155,68801
380,CRC169502,Take Surface Water,A,K36/0905,110.0,True,100.0,100.0,100.0,0.036351619299405155,168833
381,CRC169502,Take Surface Water,A,K36/0905,110.0,True,100.0,100.0,100.0,0.036351619299405155,48
382,CRC169502,Take Surface Water,A,K36/1031,2500.0,True,100.0,100.0,100.0,0.8261731658955717,68801
383,CRC169502,Take Surface Water,A,K36/1031,2500.0,True,100.0,100.0,100.0,0.8261731658955717,168833
384,CRC169502,Take Surface Water,A,K36/1031,2500.0,True,100.0,100.0,100.0,0.8261731658955717,48
385,CRC169502,Take Surface Water,A,K37/2786,56.0,True,100.0,100.0,100.0,0.018506278916060808,68801
386,CRC169502,Take Surface Water,A,K37/2786,56.0,True,100.0,100.0,100.0,0.018506278916060808,168833
387,CRC169502,Take Surface Water,A,K37/2787,120.0,True,100.0,100.0,100.0,0.03965631196298744,68801
388,CRC169502,Take Surface Water,A,K37/2787,120.0,True,100.0,100.0,100.0,0.03965631196298744,168833
389,CRC169502,Take Surface Water,A,K37/2788,80.0,True,100.0,100.0,100.0,0.026437541308658295,68801
390,CRC169502,Take Surface Water,A,K37/2788,80.0,True,100.0,100.0,100.0,0.026437541308658295,168833
391,CRC169504,Take Surface Water,A,BY20/0089,790.0,True,100.0,100.0,100.0,1.0,168834
392,CRC169504,Take Surface Water,A,BY20/0089,790.0,True,100.0,100.0,100.0,1.0,68801
393,CRC169504,Take Surface Water,A,BY20/0089,790.0,True,100.0,100.0,100.0,1.0,168837
394,CRC169922,Take Groundwater,A,K37/1016,50.0,True,0.0,0.0,0.0,1.0,168834
395,CRC169922,Take Groundwater,A,K37/1016,50.0,True,0.0,0.0,0.0,1.0,68801
396,CRC170632,Take Surface Water,A,K36/0869,45.5,True,100.0,100.0,100.0,1.0,68801
397,CRC170632,Take Surface Water,A,K36/0869,45.5,True,100.0,100.0,100.0,1.0,168833
398,CRC171378,Take Groundwater,A,BY20/0128,40.0,True,0.0,0.0,0.0,1.0,68801
399,CRC171378,Take Groundwater,A,BY20/0128,40.0,True,0.0,0.0,0.0,1.0,168833
400,CRC171990,Take Groundwater,A,K36/0574,25.0,True,94.0,87.0,73.0,1.0,68801
401,CRC171990,Take Groundwater,A,K36/0574,25.0,True,94.0,87.0,73.0,1.0,168833
